"","emd","구분","대여소번호","대여소명","대여소.주소","거치대수","lat","lon","population","school","subway","culture","travel","han_river"
"820","신당5동","중구","375","다산 어린이공원","서울특별시 중구 다산로40길 37다산 어린이공원",8,37.563717,127.018425,"10138",1,0,18,9,2268.07066042762
"821","신당5동","성동구","3527","왕십리 자이아파트","서울특별시 성동구 난계로 100왕십리 자이아파트 103동 인근",8,37.56179,127.024391,"10138",1,0,10,8,1943.39397319901
"822","신당동","중구","378","청계7가 사거리","서울특별시 중구 다산로 지하260청계7가 사거리",10,37.569805,127.016953,"8553",2,0,31,19,2953.03221278475
"823","신당동","중구","383","신당역 12번 출구 뒤","서울특별시 중구 신당동 99신당역 5번 출구",17,37.565849,127.016403,"8553",1,1,27,14,2551.90920304168
"824","신대방1동","동작구","2066","양문교회 앞","서울특별시 동작구 시흥대로 646미스터가이드양복전문점",10,37.489399,126.907112,"27931",1,0,1,4,3424.41646487793
"825","신대방1동","동작구","2012","녹십초요양병원앞","서울특별시 동작구 시흥대로 634동작구 신대방동 699",10,37.488361,126.906227,"27931",0,0,3,4,3559.82478003054
"826","신대방2동","동작구","2059","보라매공원 정문","서울특별시 동작구 신대방동 395 보라매공원 정문",10,37.497078,126.917793,"20704",1,0,2,4,2350.02767716501
"827","신대방2동","동작구","237","보라매 두산위브 건너편","서울특별시 영등포구 신길동 4490 보라매 두산위브 앞",20,37.496513,126.914803,"20704",3,0,2,4,2476.41846631006
"828","신대방2동","동작구","2056","동작구민 체육센터","서울특별시 동작구 여의대방로16길 53신대방동 460-37",10,37.494499,126.916527,"20704",4,0,2,4,2657.99298109115
"829","신대방2동","동작구","2067","LG전자 베스트샾 대리점 앞","서울특별시 동작구 여의대방로 122LG전자 베스트샾 대리점 앞",10,37.497669,126.919868,"20704",1,0,3,4,2231.97015056356
"830","신도림동","구로구","1904","도림천역 1번 출구 앞","서울특별시 구로구 경인로67길 160구로구 신도림동 323-16",10,37.51424,126.882874,"36798",2,1,9,1,3039.72909093706
"831","신도림동","구로구","1906","신도림역 1번 출구 앞","서울특별시 구로구 경인로 688구로구 신도림동 348-1",20,37.50972,126.890099,"36798",0,1,24,2,2723.17651042046
"832","신도림동","구로구","1956","도야미리숯불갈비 앞","서울특별시 구로구 신도림로 67도야미리숯불갈비 앞",10,37.51001,126.88205,"36798",1,0,11,3,3323.47410623132
"833","신도림동","구로구","1901","신도림동주민센터 앞","서울특별시 구로구 신도림로 40구로구 신도림동 397-32",10,37.507332,126.87973,"36798",1,0,11,3,3643.80593408327
